date,1. open,2. high,3. low,4. close,5. volume
2020-04-28 09:31:00,175.4044,175.6672,174.55,174.585,1041416.0
2020-04-28 09:32:00,174.58,174.59,174.06,174.155,164685.0
2020-04-28 09:33:00,174.14,174.72,174.05,174.67,195902.0
2020-04-28 09:34:00,174.67,174.89,174.5334,174.8101,101150.0
2020-04-28 09:35:00,174.8547,175.08,174.72,175.04,86563.0
2020-04-28 09:36:00,175.09,175.17,174.6,174.67,164580.0
2020-04-28 09:37:00,174.68,174.68,174.25,174.48,74063.0
2020-04-28 09:38:00,174.4,174.41,174.01,174.34,122437.0
2020-04-28 09:39:00,174.35,174.4899,174.055,174.096,119586.0
2020-04-28 09:40:00,174.1,174.57,174.06,174.54,101148.0
2020-04-28 09:41:00,174.5501,174.89,174.43,174.84,139337.0
2020-04-28 09:42:00,174.83,174.97,174.78,174.9336,95397.0
2020-04-28 09:43:00,174.9412,175.06,174.67,174.79,116679.0
2020-04-28 09:44:00,174.785,174.95,174.62,174.91,76355.0
2020-04-28 09:45:00,174.92,174.996,174.8301,174.915,72588.0
2020-04-28 09:46:00,174.9,175.08,174.76,175.02,139101.0
2020-04-28 09:47:00,175.0201,175.06,174.78,174.8,102876.0
2020-04-28 09:48:00,174.75,174.86,174.5701,174.5701,66675.0
2020-04-28 09:49:00,174.79,174.8041,174.5324,174.7101,63205.0
2020-04-28 09:50:00,174.75,174.81,174.58,174.62,64499.0
2020-04-28 09:51:00,174.61,174.765,174.54,174.7058,86290.0
2020-04-28 09:52:00,174.72,174.79,174.62,174.62,56623.0
2020-04-28 09:53:00,174.65,174.77,174.61,174.61,41802.0
2020-04-28 09:54:00,174.634,174.6799,174.58,174.625,43386.0
2020-04-28 09:55:00,174.62,174.71,174.44,174.47,88401.0
2020-04-28 09:56:00,174.47,174.51,174.3,174.36,65338.0
2020-04-28 09:57:00,174.38,174.4399,174.32,174.3974,48246.0
2020-04-28 09:58:00,174.3962,174.41,174.15,174.21,86707.0
2020-04-28 09:59:00,173.99,174.2101,173.95,173.96,162817.0
2020-04-28 10:00:00,173.97,174.14,173.97,174.01,91069.0
2020-04-28 10:01:00,173.99,174.18,173.7738,173.81,108477.0
2020-04-28 10:02:00,173.8299,173.8299,173.55,173.685,112796.0
2020-04-28 10:03:00,173.72,173.817,173.66,173.785,83045.0
2020-04-28 10:04:00,173.79,173.86,173.65,173.75,66321.0
2020-04-28 10:05:00,173.75,173.84,173.7,173.8312,69145.0
2020-04-28 10:06:00,173.84,173.87,173.71,173.77,58696.0
2020-04-28 10:07:00,173.77,173.89,173.73,173.73,75213.0
2020-04-28 10:08:00,173.72,173.72,173.5101,173.54,103507.0
2020-04-28 10:09:00,173.54,173.65,173.43,173.43,101773.0
2020-04-28 10:10:00,173.4478,173.6468,173.3801,173.61,53916.0
2020-04-28 10:11:00,173.62,173.65,173.55,173.55,37414.0
2020-04-28 10:12:00,173.5298,173.7,173.5298,173.675,45022.0
2020-04-28 10:13:00,173.6707,173.8,173.6266,173.8,50632.0
2020-04-28 10:14:00,173.815,173.815,173.61,173.6701,56553.0
2020-04-28 10:15:00,173.675,173.675,173.48,173.481,65240.0
2020-04-28 10:16:00,173.485,173.5,173.28,173.41,138800.0
2020-04-28 10:17:00,173.41,173.44,173.27,173.32,64823.0
2020-04-28 10:18:00,173.32,173.4499,173.24,173.305,67454.0
2020-04-28 10:19:00,173.325,173.325,173.03,173.0439,71020.0
2020-04-28 10:20:00,173.04,173.08,172.7027,172.7602,172942.0
2020-04-28 10:21:00,172.765,172.84,172.53,172.53,87239.0
2020-04-28 10:22:00,172.53,172.68,172.04,172.06,146257.0
2020-04-28 10:23:00,172.0801,172.34,171.81,171.81,208263.0
2020-04-28 10:24:00,171.83,172.0919,171.75,171.995,139349.0
2020-04-28 10:25:00,171.99,172.1,171.92,172.0298,114332.0
2020-04-28 10:26:00,172.025,172.16,171.82,172.16,136562.0
2020-04-28 10:27:00,172.15,172.44,172.15,172.415,124846.0
2020-04-28 10:28:00,172.41,172.44,172.1,172.36,101069.0
2020-04-28 10:29:00,172.34,172.3902,172.22,172.26,96410.0
2020-04-28 10:30:00,172.2699,172.43,172.11,172.365,92184.0
2020-04-28 10:31:00,172.39,172.43,172.305,172.41,72986.0
2020-04-28 10:32:00,172.4,172.57,172.4,172.44,73565.0
2020-04-28 10:33:00,172.4799,172.63,172.29,172.57,94652.0
2020-04-28 10:34:00,172.5735,172.62,172.41,172.61,58017.0
2020-04-28 10:35:00,172.61,172.76,172.58,172.72,76881.0
2020-04-28 10:36:00,172.78,172.93,172.78,172.8942,93962.0
2020-04-28 10:37:00,172.9,173.05,172.84,172.84,67359.0
2020-04-28 10:38:00,172.8301,172.98,172.78,172.97,52476.0
2020-04-28 10:39:00,172.94,173.02,172.895,172.9125,77452.0
2020-04-28 10:40:00,172.99,173.03,172.8101,172.815,76626.0
2020-04-28 10:41:00,172.8167,172.82,172.61,172.67,90466.0
2020-04-28 10:42:00,172.68,172.69,172.48,172.595,80342.0
2020-04-28 10:43:00,172.6,172.7,172.51,172.51,39700.0
2020-04-28 10:44:00,172.515,172.515,172.36,172.405,63039.0
2020-04-28 10:45:00,172.4,172.43,172.1,172.13,85979.0
2020-04-28 10:46:00,172.1258,172.2,172.04,172.1463,75025.0
2020-04-28 10:47:00,172.15,172.15,171.92,172.04,80751.0
2020-04-28 10:48:00,172.03,172.0738,171.88,171.996,64122.0
2020-04-28 10:49:00,171.99,172.17,171.95,172.04,63580.0
2020-04-28 10:50:00,172.05,172.24,171.98,172.19,59852.0
2020-04-28 10:51:00,172.19,172.21,172.1,172.135,45058.0
